template,type,kr_url
ible,image,https://kr.sidiz.com/cdn/shop/files/Img_229839a6-96be-4812-9799-95b8bd7dd613.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/S60SFG0KK_01.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/S60SFG0KK_02.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/S60SFU0KK_01.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/S60SFU0KK_02.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/TNB501FE_01_8ecc9d68-2b29-473b-88b4-c18508dc0c6e.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/TNB501FE_02_fb762c1d-05d3-4262-8bea-3efacba49b8a.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_01-1.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_01-2.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_02-2-0.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_02-3.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_02.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__01.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__02.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__03.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__04.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__05_2bbe7b0c-aedf-400f-a502-588f3370c27d.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__06_37f1da99-6c7d-4042-a008-df28619fd08c.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_1_1__07.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_FYF_01_133478ce-b5c3-431f-b798-ef0f295614cb.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_FYF_02.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_Head.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/LINIE_Head_M-0.jpg
linie,image,"https://kr.sidiz.com/cdn/shop/files/LINIE_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/LINIE_Option1-1.jpg"
linie,image,"https://kr.sidiz.com/cdn/shop/files/LINIE_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/LINIE_Option2-1.jpg"
linie,image,https://kr.sidiz.com/cdn/shop/files/TXNA250F_01_e548e80f-008c-4dca-85f5-6162c915f402.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/TXNA250F_02_18b7ddea-ccf4-494e-8c9a-460d6f2fe7d3.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/TXNA250NF_01_02259039-f13c-4f89-bec8-6a75063e27f1.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/TXNA250NF_02_7da8fade-433c-4c72-8658-34cd10b766f8.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/pc_1.png
linie,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/0ce2f2fdbdbc4e5a8cdd492398cb7263.thumbnail.0000000000_small.jpg
linie,poster,https://kr.sidiz.com/cdn/shop/files/preview_images/6b0ff48d654b4cd4bac5bc7e1f34a441.thumbnail.0000000000_small.jpg
linie,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
linie,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/0ce2f2fdbdbc4e5a8cdd492398cb7263/0ce2f2fdbdbc4e5a8cdd492398cb7263.SD-480p-0.9Mbps-40950678.mp4
linie,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/6b0ff48d654b4cd4bac5bc7e1f34a441/6b0ff48d654b4cd4bac5bc7e1f34a441.HD-1080p-7.2Mbps-36792243.mp4
mane,image,https://kr.sidiz.com/cdn/shop/files/1_7522236a-3c75-47a8-9db9-a1421e46e9bf.jpg
mane,image,"https://kr.sidiz.com/cdn/shop/files/1_7793aeb9-8598-4980-9c96-3d9a29879baf.jpg,https://kr.sidiz.com/cdn/shop/files/2_b42c8d5a-4c95-40ff-911a-8766cd3db144.jpg"
mane,image,https://kr.sidiz.com/cdn/shop/files/3_2b2b3146-6694-47c0-a9be-837ef682c22d.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/AI_MANE_04.png
mane,image,https://kr.sidiz.com/cdn/shop/files/AI_MANE_05.png
mane,image,https://kr.sidiz.com/cdn/shop/files/AI_MANE_08.png
mane,image,https://kr.sidiz.com/cdn/shop/files/AI_MANE_09.png
mane,image,https://kr.sidiz.com/cdn/shop/files/AI_MANE_10.png
mane,image,https://kr.sidiz.com/cdn/shop/files/Head_M_9cfbc09d-eadc-4127-953b-bdfecdfbd8da.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/Head_e1464329-8260-4b29-880e-e4b25db9611a.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/Img_3_9003a4c1-f638-4b4a-b389-d17e2f1e9de8.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/Img_6be420c0-722e-43b1-8d31-9bf8aa448b2c.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/M071E_01_638ac3bc-c7c3-4b0f-86f8-8b5ef660b94d.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/M071E_02_ca0a0bf7-2306-489a-ba18-ca25a4b84494.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/MANE_01-1.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/MANE_01-3.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/MANE_1_1__04.jpg
mane,image,"https://kr.sidiz.com/cdn/shop/files/MANE_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/MANE_Option1-1.jpg"
mane,image,https://kr.sidiz.com/cdn/shop/files/MN021E_01_5de30485-ac11-4a80-9d2a-2e880dc73916.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/MN021E_02_ba43ed4f-c884-4466-9eef-cdea867bc2b3.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
mane,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/BLOCK-EGA-NOTICE.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/Img_1_9b88d673-2797-480c-8a47-4bc5fd4f4038.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_01-1.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_01-2.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_01-3.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_02-1.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_02-2.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_02-3.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_02_df820c41-8592-44de-bb44-193c73492beb.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_03-0.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_03-1.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_03-2.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_03-3.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__01.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__02.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__03.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__04.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__05.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_1_1__06.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_Head_01.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_Head_01_M-0.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_Img.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/MOLTI_Img_2.jpg
molti,image,"https://kr.sidiz.com/cdn/shop/files/MOLTI_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/MOLTI_Option1-1.jpg"
molti,image,"https://kr.sidiz.com/cdn/shop/files/MOLTI_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/MOLTI_Option2-1.jpg"
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_01_f4759bcb-7371-4b5e-842d-6e997bb46c1f.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_02_e3ea00e0-05e4-45aa-967c-c33c8295a5d1.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_03_36e91585-27c2-4b97-be27-e066336abd21.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_04_64f7a699-a32d-4c49-9fec-dc328d2ef3d6.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_05_f55ab27c-cdff-4f24-8dee-8290b455dc64.jpg
molti,image,https://kr.sidiz.com/cdn/shop/files/SK500NA_06_dcc2e7c8-1738-4643-8c26-11972e40714f.jpg
